Прізвище,Ім'я,Побатькові,Стать,Дата народження,Посада,Місто проживання,Адреса,Телефон,Email
Кабаненко,Герман ,Анатолійович,Чоловік,2002-01-01 00:00:00,Редактор,хутір Ілля,"провулок Масоха, 2, селище Лілія, 87453",005 022-46-98,dubasdemʼian@andriiovych-yeresʹko.net
Токар,Данна,Вадимівна,Жінка,1973-09-03 00:00:00,Паблік рилейшнз,хутір Демʼян,"Шморгун узвіз, 3, село Захар, 29642",+38 447 506 45 73,mykhailyna65@email.ua
Базилевич,Руслан,Ільїч,Чоловік,1997-06-03 00:00:00,Гірник,село Софія,"Сагаль узвіз, 290, селище Венедикт, 53292",411-87-23,kostiantyn64@tsymbaliuk-masliak.info
Коваленко,Василь,Костянтинович,Чоловік,2001-10-20 00:00:00,ГеологГеофізикГицель,селище Олекса,"набережна Михалюк, 509, село Георгій, 64634",+38 901 941-34-72,ldarahan@demʼianenko.org
Левченко,Орися,Даниліївна,Жінка,1996-01-29 00:00:00,Антрополог,хутір Софія,"проспект Зінкевич, 8, хутір Сніжана, 48535",+38 (394) 646-40-24,fpavlenko@ukr.net
Дейсун,Юстина,Назарівна,Жінка,1967-10-01 00:00:00,Астроном,місто Мілена,"провулок Батюк, 234, місто Вікторія, 17345",+38 (568) 333-00-45,gbebeshko@babiichuk-batih.info
Голобородько,Лукʼян,Іванович,Чоловік,1956-09-08 00:00:00,Кінорежисер,місто Олекса,"Семенченко узвіз, 1, місто Соломон, 103194",015 609-79-18,cdubyna@ovcharenko.org
Теличенко,Пилип,Вадимович,Чоловік,1978-05-26 00:00:00,Науковець,селище Камілла,"Удовиченко узвіз, 5, село Богодар, 11568",400 67 24,zpustovit@androshchuk.com
Єщенко,Зиновій,Вадимович,Чоловік,1941-04-10 00:00:00,Краєзнавець,селище Єва,"набережна Балабан, 631, місто Станіслав, 04356",905-34-94,myronhoholʹ-ianovsʹkyi@bazylevsʹkyi.com
Саєнко,Веніямин,Вікторович,Чоловік,1980-11-17 00:00:00,Єгер,місто Борис,"Бгиденко узвіз, 4, місто Ілля, 57037",343-85-71,panteleimonbebeshko@haivoronsʹkyi.info
Власюк,Володимира,Петрівна,Жінка,1970-08-09 00:00:00,Літературознавець,селище Богодар,"бульвар Засенко, 471, хутір Мирон, 96285",034 497-00-48,vadym00@email.ua
Бабʼяк,Артем,Анатолійович,Чоловік,1996-12-28 00:00:00,Соціолог,село Геннадій,"Лесик узвіз, 8, село Олена, 79299",+38 (375) 369-17-08,gfareniuk@gmail.com
Гузій,Галина,Ільївна,Жінка,1948-04-07 00:00:00,Антрополог,хутір Вʼячеслав,"Зубко узвіз, 9, село Теодор, 52704",+38 844 814-06-27,azhazhaliza@gov.ua
Шовкопляс,Аврелій,Михайлович,Чоловік,1988-09-01 00:00:00,Головний меркшейдер,місто Ірина,"Авраменко узвіз, 8, село Богодар, 47746",475-42-11,ustym47@meta.ua
Корпанюк,Августин,Анатолійович,Чоловік,1942-12-06 00:00:00,Кухар,село Адам,"Вакарчук узвіз, 853, селище Аліна, 19285",+38 (526) 182-09-34,herman-19@gov.ua
Ільченко,Олесь,Вадимович,Чоловік,2001-08-06 00:00:00,Педагог,місто Ірина,"Бгиденко узвіз, 2, хутір Климент, 15179",+38 495 098 70 68,babenkodaryna@gov.ua
Іщак,Богуслав,Володимирович,Чоловік,1970-10-04 00:00:00,Бухгалтер,село Юхим,"бульвар Левченко, 74, місто Пармен, 54961",+38 759 116 14 53,iabramchuk@meta.ua
Давиденко,Альбіна,Даниліївна,Жінка,1950-08-04 00:00:00,Фотограф,місто Михайло,"Вишиваний узвіз, 0, хутір Варвара, 34684",353-63-05,solomon79@ukr.net
Ґжицький,Любов,Костянтинівна,Жінка,1984-12-16 00:00:00,Каскадер,хутір Надія,"Матвієнко узвіз, 93, село Захар, 78610",+38 227 656-32-18,ielyseikovaliuk@mykytiuk.net
Шеремета,Семен,Костянтинович,Чоловік,1967-07-08 00:00:00,Журналіст,місто Дмитро,"майдан Свириденко, 1, хутір Григорій, 62690",+38 (314) 291-01-12,violetta08@chubai.com
Охримович,Ілля,Володимирович,Чоловік,1976-03-02 00:00:00,Біолог,селище Ада,"Балабан узвіз, 29, селище Мартин, 57408",288-65-74,khrystyna31@tereshchenko.ua
Савенко,Прохір,Костянтинович,Чоловік,1954-08-13 00:00:00,Хореограф,село Давид,"вулиця Прокопович, 54, село Олесь, 78094",080 448 45 78,derehusmarʼiana@i.ua
Адаменко,Григорій,Назарович,Чоловік,1967-03-08 00:00:00,Фізик,хутір Ада,"Проценко узвіз, 7, місто Олекса, 65554",954 85 49,hlibfurs@bazylevsʹkyi.com
Зінченко,Хома,Вадимович,Чоловік,1974-03-12 00:00:00,Флорист,селище Оксенія,"Авдєєнко узвіз, 55, селище Софія, 23212",+38 (366) 222-46-58,vtereshchuk@tryhub.info
Філіпенко,Миколай,Анатолійович,Чоловік,2006-07-30 00:00:00,Продюсер,хутір Ольга,"Даньків узвіз, 9, селище Пантелеймон, 49844",+38 556 841-55-60,mykhailychenkolevko@meta.ua
Бабʼюк,Пилип,Олександрович,Чоловік,1962-04-12 00:00:00,Патологоанатом,хутір Леонід,"Тягнибок узвіз, 820, хутір Володимир, 18499",+38 (797) 273-54-88,lchuiko@gmail.com
Луценко,Марко,Данилович,Чоловік,1989-10-09 00:00:00,Лікар,місто Віктор,"Романенко узвіз, 258, село Захар, 53953",+38 395 099-57-46,danʹkevychmarusia@drobakha.com
Ванченко,Анжела,Григорівна,Жінка,1976-01-18 00:00:00,Фотограф,селище Федір,"набережна Ґжицький, 9, село Степан, 67727",209-45-17,onysymzasiadʹko@kolisnychenko-goliash.com
Жаліло,Феофан,Григорович,Чоловік,1941-09-27 00:00:00,Живописець,село Феофан,"майдан Шамрай, 735, село Єфрем, 66532",160-13-28,romanchukvʼiacheslav@laba.com
Жарко,Ольга,Костянтинівна,Жінка,2001-04-07 00:00:00,Астроном,селище Одарка,"набережна Закусило, 4, селище Олекса, 53221",+38 550 334-20-61,stefanlupii@arkhymovych.info
Колесниченко,Володимир,Артемович,Чоловік,2000-02-10 00:00:00,Хімік,село Спас,"Черінько узвіз, 0, селище Святослава, 08387",+38 513 698-63-36,leontii18@yizhakevych-hoholʹ.ua
Гайдамака,Христина,Юріївна,Жінка,1965-02-18 00:00:00,Слідчий,селище Яків,"набережна Гайворонський, 1, хутір Марина, 63496",244-76-75,ldurdynetsʹ@email.ua
Данько,Борислав,Максимович,Чоловік,1969-04-08 00:00:00,Зоолог,хутір Ліза,"Зубко узвіз, 412, село Богданна, 52902",528-44-75,nestaikoliudmyla@gmail.com
Гуцуляк,Пантелеймон,Олександрович,Чоловік,1960-05-10 00:00:00,Складальник,місто Теодор,"бульвар Харченко, 75, місто Федір, 84817",379-85-79,kadeniukalʹbert@chernenko.info
Затула,Йосип,Артемович,Чоловік,1979-11-19 00:00:00,Мірошник,село Веніямин,"Перепелиця узвіз, 429, селище Климент, 41339",+38 (721) 048-84-79,anastasiia30@gov.ua
Доценко,Розалія,Олегівна,Жінка,1985-04-02 00:00:00,Науковець,селище Аврелій,"проспект Титаренко, 299, хутір Ярослав, 92851",+38 219 540 33 92,labamaryna@gmail.com
Охримович,Гордій,Костянтинович,Чоловік,1958-04-08 00:00:00,Мистецтвознавець,селище Богдан,"Рябець узвіз, 57, місто Володимира, 68914",023 748 29 35,odarka94@ukr.net
Батюк,Богодар,Георгійович,Чоловік,1939-08-31 00:00:00,Ботанік,селище Давид,"вулиця Жученко, 58, хутір Орест, 107547",+38 119 544-80-52,volodymyrlupii@email.ua
Гайдабура,Спас,Сергійович,Чоловік,1942-04-26 00:00:00,Підприємець,місто Мирослав,"Демʼянчук узвіз, 829, хутір Єлисавета, 105387",+38 373 383 26 22,uiatseniuk@shtepa.укр
Дараган,Аркадій,Максимович,Чоловік,1962-09-11 00:00:00,Каскадер,село Борислав,"Алексюк узвіз, 181, селище Давид, 56692",016 284 64 12,hvasylenko@furs.info
Даценко,Альбіна,Петрівна,Жінка,2005-09-29 00:00:00,Електромонтажник,місто Левко,"Дробʼязко узвіз, 87, хутір Пилип, 36184",+38 (031) 697-67-62,karmaliukiukhym@sirchenko.org
Дашкевич,Станіслав,Назарович,Чоловік,1994-03-12 00:00:00,Круп'є,місто Олекса,"Цушко узвіз, 6, хутір Прохір, 39368",083 588 12 29,leon63@bairak.net
Фастенко,Арсен,Данилович,Чоловік,1978-08-03 00:00:00,Стропальник,селище Тереза,"Верховинець узвіз, 8, село Єва, 45836",+38 865 932 31 91,amaliiapetryk@email.ua
Бабій,Златослава,Юріївна,Жінка,1972-10-11 00:00:00,Біолог,місто Одарка,"Лисенко узвіз, 40, село Анжела, 98449",018 592-07-31,iaroshmarusia@gov.ua
Єрошенко,Станіслав,Данилович,Чоловік,1958-04-07 00:00:00,Кухар,село Вʼячеслав,"вулиця Ковпак, 860, хутір Іван, 45777",037 398 32 16,bchaban@gov.ua
Уманець,Пріска,Олегівна,Жінка,1950-06-15 00:00:00,Живописець,село Аврелій,"майдан Атаманчук, 79, місто Оксана, 108310",575-50-22,iashchukhryhorii@email.ua
Романець,Панас,Анатолійович,Чоловік,1973-04-07 00:00:00,Економіст,село Оксана,"Притула узвіз, 570, місто Марта, 13112",+38 (708) 906-83-52,viktor95@franko-havryliuk.net
Забіла,Георгій,Григорович,Чоловік,1952-04-29 00:00:00,Парфюмер,хутір Ольга,"бульвар Стець, 51, село Зиновій, 84823",025 820 64 28,miaremkiv@zhalilo.ua
Ґерус,Оксана,Михайлівна,Жінка,1994-12-14 00:00:00,Письменник,село Веніямин,"провулок Вдовиченко, 184, хутір Михайло, 41622",013 138 28 33,gkovalenko@isaievych.info
Акименко,Орхип,Вадимович,Чоловік,1958-10-12 00:00:00,Драматург,село Григорій,"Артимович узвіз, 645, місто Богдан, 79859",+38 215 006 54 32,hryhorii26@i.ua
Шаблій,Віолетта,Георгіївна,Жінка,1966-05-14 00:00:00,Будник,хутір Василина,"Артим узвіз, 7, місто Емілія, 78057",026 020 26 90,psych@vivcharenko-vakhnii.ua
Тесленко,Пармен,Юрійович,Чоловік,1939-09-17 00:00:00,Гірник,місто Августин,"майдан Тесленко, 98, селище Пармен, 95966",083 825 08 34,amvrosiiiarosh@i.ua
Атрощенко,Миколай,Костянтинович,Чоловік,1968-07-10 00:00:00,Хімік,хутір Вадим,"Ватаманюк узвіз, 81, селище Христина, 37858",+38 (814) 259-62-17,tovstolissymon@yaremko-vdovenko.укр
Жадан,Орися,Максимівна,Жінка,1986-08-23 00:00:00,Сантехнік,село Едуард,"проспект Рубець, 308, хутір Богодар, 69632",+38 (616) 035-74-65,klavdiia53@zasukha.net
Девдюк,Тарас,Володимирович,Чоловік,1991-02-28 00:00:00,Астронавт,хутір Трохим,"Устенко узвіз, 08, селище Валентина, 85863",086 686 19 71,nikoliukleontii@i.ua
Доценко,Христина,Назарівна,Жінка,1978-02-19 00:00:00,Електротехнік,селище Артем,"Твердохліб узвіз, 3, селище Віталій, 51903",509-07-38,ekarpa@haidenko-zhurba.net
Скоробогатько,Йосип,Михайлович,Чоловік,2007-03-08 00:00:00,Літературознавець,селище Христина,"набережна Іванченко, 47, місто Дан, 03394",+38 (391) 237-37-55,iredʹko@ukr.net
Цибуленко,Яків,Дмитрович,Чоловік,1963-08-17 00:00:00,Історик,місто Людмила,"Свириденко узвіз, 14, село Іван, 48819",064 155 23 45,matiashiarema@email.ua
Уманець,Святослав,Михайлович,Чоловік,1961-11-23 00:00:00,Хімік,селище Семен,"Авдєєнко узвіз, 69, хутір Владислав, 34886",055 442-02-64,artymyshynmaryna@i.ua
Джунь,Давид,Григорович,Чоловік,1969-12-29 00:00:00,Кінорежисер,місто Михайло,"провулок Дрозденко, 9, село Богуслава, 12308",+38 954 626-95-49,bkanivetsʹ@gmail.com
Дуплій,Артем,Григорович,Чоловік,1950-11-28 00:00:00,Філолог,селище Аврелій,"Власенко узвіз, 5, селище Пармен, 16665",+38 882 741 47 04,makarprytula@saienko.org
Козак,Віталій,Георгійович,Чоловік,1943-05-13 00:00:00,Художник,село Дарина,"майдан Корпанюк, 55, селище Опанас, 31658",024 787 86 58,bevzvalerii@hunʹko-gerus.ua
Акименко,Панас,Олександрович,Чоловік,1979-12-07 00:00:00,Реставратор,місто Варвара,"Панчук узвіз, 2, село Надія, 57473",+38 643 764-72-46,zlatoslavaskyba@i.ua
Бабʼяк,Василина,Даниліївна,Жінка,1966-06-09 00:00:00,Громадський діяч,селище Антон,"Матяш узвіз, 63, хутір Василина, 41875",+38 (700) 301-21-56,saliileontii@hrechko.info
Ісаєнко,Едита,Вікторівна,Жінка,1980-02-25 00:00:00,Бухгалтер,місто Франц,"проспект Засенко, 89, хутір Ярослав, 24984",053 858-89-46,mykytiukvioletta@verkhovynetsʹ.укр
Аронець,Адам,Ільїч,Чоловік,1954-04-22 00:00:00,Письменник,хутір Ярина,"майдан Охримович, 73, село Станіслав, 19875",+38 027 917 36 12,sahalʹvʼiacheslav@andriichuk.net
Туркало,Костянтин,Вадимович,Чоловік,1945-12-18 00:00:00,Круп'є,хутір Дан,"проспект Чуйко, 6, місто Симон, 38722",053 285-43-43,ghresʹ@gov.ua
Уманець,Ірена,Дмитрівна,Жінка,1963-03-04 00:00:00,Кінокритик,селище Пилип,"Носенко узвіз, 859, село Орест, 37692",+38 931 079 69 96,hennadiirak@kozachenko.org
Міщенко,Альберт,Данилович,Чоловік,1963-03-03 00:00:00,Сценарист,хутір Владислав,"Атаманчук узвіз, 03, хутір Марко, 61078",+38 778 423-80-46,adam50@i.ua
Кабалюк,Марія,Георгіївна,Жінка,1988-06-23 00:00:00,Астрофізик,хутір Василина,"Ейбоженко узвіз, 367, село Степан, 83380",+38 084 898-85-12,cievtushok@gov.ua
Онуфрієнко,Андрій,Дмитрович,Чоловік,1983-05-05 00:00:00,Хореограф,селище Вʼячеслав,"Артюшенко узвіз, 7, селище Демʼян, 82081",389 36 40,yshtepa@i.ua
Єфименко,Ростислав,Анатолійович,Чоловік,1960-01-27 00:00:00,Астроном,селище Аврелій,"вулиця Дзиндра, 9, селище Вʼячеслав, 103321",+38 309 607-64-95,hlibdanchenko@miroshnychenko.com
Гриценко,Лариса,Юріївна,Жінка,1963-04-02 00:00:00,Лікар,місто Демʼян,"майдан Василечко, 6, село Святослав, 42390",651 98 15,lesʹ47@tereshchuk.com
Гайворонський,Августин,Максимович,Чоловік,1986-10-09 00:00:00,Паблік рилейшнз,хутір Мирон,"Демʼянчук узвіз, 08, селище Маруся, 73834",+38 611 285-62-00,orkhypkalenychenko@poltavetsʹ-sahalʹ.org
Карась,Емілія,Григорівна,Жінка,2005-07-21 00:00:00,Реабілітолог,село Пармен,"бульвар Ґерус, 00, місто Алевтин, 31018",+38 515 678-84-90,xchernenko@meta.ua
Палій,Святослав,Дмитрович,Чоловік,2007-11-14 00:00:00,Інженер,хутір Гліб,"вулиця Щербак, 172, село Мартин, 810000",062 681-49-55,kfilipenko@hupalo.com
Терещук,Венедикт,Данилович,Чоловік,2001-07-09 00:00:00,Фрілансер,село Марʼяна,"майдан Лесик, 2, село Теодор, 109791",+38 011 866 70 73,zzakharchenko@tryhub.укр
Кальченко,Валерій,Олегович,Чоловік,1967-03-19 00:00:00,Парфюмер,селище Опанас,"Бандура узвіз, 890, селище Роксолана, 69846",+38 480 261-97-78,shtokalopanteleimon@ukr.net
Демʼянюк,Ольга,Олександрівна,Жінка,1995-01-10 00:00:00,Етнограф,село Миколай,"Єфименко узвіз, 3, село Амалія, 04651",087 323 90 77,bebeshkoostap@ukr.net
Валенко,Демид,Данилович,Чоловік,1971-08-26 00:00:00,Підприємець,місто Віктор,"набережна Ірванець, 540, місто Леопольд, 57912",+38 502 643 37 21,sofiiazhalilo@gov.ua
Швачка,Єва,Георгіївна,Жінка,1942-11-19 00:00:00,Археолог,село Аврелій,"провулок Чалий, 41, село Тереза, 25244",067 252-14-94,wdanchuk@gov.ua
Усик,Ліза,Ільївна,Жінка,1979-03-13 00:00:00,Медик,село Галина,"вулиця Сіробаба, 08, місто Леонтій, 35979",053 003 83 53,vasylyna57@konoplia-kanivetsʹ.net
Онуфрієнко,Надія,Вікторівна,Жінка,1943-10-07 00:00:00,Модель,село Леонтій,"вулиця Рубан, 31, хутір Віталій, 11516",+38 868 553 89 88,danylʹchukliubov@meta.ua
Баранець,Ярослав,Назарович,Чоловік,1967-10-17 00:00:00,Водій,місто Тереза,"вулиця Ґерета, 8, хутір Зорян, 99459",+38 758 551 04 62,evenhrynovych@gmail.com
Дутка,Мирослав,Артемович,Чоловік,1956-09-07 00:00:00,Електромонтер,село Артем,"провулок Джунь, 69, хутір Ярема, 37174",+38 967 184-09-87,olʹhaivasiuk@ukr.net
Свириденко,Демʼян,Вікторович,Чоловік,1992-02-27 00:00:00,Стоматолог,село Мартин,"Височан узвіз, 1, село Опанас, 63724",792-48-70,chaikademyd@email.ua
Кабалюк,Сергій,Ільїч,Чоловік,1976-08-19 00:00:00,Біолог,місто Лесь,"вулиця Якименко, 45, село Едита, 59233",014 618 19 80,iaroslavadubyna@gmail.com
Безбородько,Аарон,Ільїч,Чоловік,2003-07-25 00:00:00,Державний службовець,місто Одарка,"Фесенко узвіз, 85, хутір Богодар, 09565",+38 252 024-23-52,udovychenkozorian@hunʹko.укр
Тимчук,Ірена,Вікторівна,Жінка,2000-04-22 00:00:00,Стоматолог,хутір Пантелеймон,"Бакуменко узвіз, 83, хутір Роксолана, 43369",091 371-94-71,tarasenkohlib@ukr.net
Піддубний,Ярина,Олегівна,Жінка,2008-08-07 00:00:00,Ботанік,хутір Ярослав,"проспект Дашенко, 74, село Юстина, 56752",+38 777 047-20-13,mykyta35@ukr.net
Атаманюк,Аліна,Дмитрівна,Жінка,1960-02-11 00:00:00,Детектив,хутір Тетяна,"вулиця Макогон, 43, село Віра, 64992",+38 775 860-94-14,dzhusoksana@ukr.net
Швачка,Феофан,Артемович,Чоловік,1997-10-15 00:00:00,Математик,селище Святослава,"бульвар Андрійович, 07, місто Леопольд, 88337",086 365 75 84,virasyrotenko@email.ua
Чайка,Венедикт,Вадимович,Чоловік,1962-02-14 00:00:00,Шериф,селище Йосип,"набережна Єсипенко, 043, хутір Леонід, 22721",+38 (265) 713-31-27,balabanboleslav@email.ua
Шовкопляс,Владислав,Петрович,Чоловік,1950-12-08 00:00:00,Педагог,село Світлана,"вулиця Кабалюк, 83, село Соломон, 81687",+38 (573) 466-38-28,xumanetsʹ@khomenko.укр
Примаченко,Едита,Вікторівна,Жінка,1975-03-20 00:00:00,Клоун,хутір Єфрем,"проспект Свистун, 697, село Гліб, 61767",+38 (719) 206-44-77,bohuslava83@email.ua
Хмара,Герман ,Михайлович,Чоловік,1973-08-08 00:00:00,Лікар,місто Валентина,"Франко узвіз, 922, хутір Ігор, 25021",+38 061 912-53-37,amvrosiivanchenko@yatseniuk-zakharchenko.org
Дзюба,Гаврило,Михайлович,Чоловік,1965-11-25 00:00:00,Інженер,хутір Марʼяна,"майдан Бабко, 55, хутір Володимир, 29770",025 530-57-91,klymentbalaban@ukr.net
Парасюк,Охрім,Дмитрович,Чоловік,1969-09-19 00:00:00,Ді-джей,місто Ліза,"бульвар Забіла, 01, селище Віктор, 24080",+38 (407) 857-27-81,xsvyrydenko@zabara.укр
Алексюк,Йосип,Назарович,Чоловік,1999-09-03 00:00:00,Музикант,село Віктор,"вулиця Худяк, 5, хутір Симон, 25164",046 128 91 56,nataliia76@i.ua
Уманець,Степан,Георгійович,Чоловік,1977-08-23 00:00:00,Фрілансер,хутір Болеслав,"Чекалюк узвіз, 79, селище Алевтин, 77255",465-77-54,xbabarychenko@romanetsʹ.ua
Штокало,Георгій,Максимович,Чоловік,1983-05-02 00:00:00,Бібліограф,хутір Галина,"майдан Свириденко, 730, село Оксана, 27468",+38 682 678 17 53,boleslavtokar@saienko.com
Іщак,Орхип,Володимирович,Чоловік,1969-12-13 00:00:00,Науковець,село Соломія,"вулиця Безбородьки, 279, місто Варфоломій, 62106",467-57-02,spushkar@davydenko-dashkevych.com
Бебешко,Лукʼян,Олександрович,Чоловік,1939-11-23 00:00:00,Модель,селище Августин,"провулок Гук, 901, селище Гаврило, 98546",303 35 23,klyment87@bazavluchenko.info
Гавриш,Веніямин,Анатолійович,Чоловік,1990-04-03 00:00:00,Режисер,місто Юхим,"бульвар Скирда, 3, селище Григорій, 74078",992-76-11,stusiukhym@i.ua
Затовканюк,Ярина,Вікторівна,Жінка,1953-07-09 00:00:00,Патологоанатом,селище Дмитро,"майдан Рева, 95, село Святослав, 74344",+38 (372) 059-89-25,fzaporozhetsʹ@meta.ua
Величко,Геннадій,Олександрович,Чоловік,1999-04-14 00:00:00,Кінолог,місто Віктор,"Павленко узвіз, 200, місто Сергій, 67101",+38 217 567-16-51,elazarenko@artymovych.ua
Лесик,Орися,Юріївна,Жінка,1964-07-22 00:00:00,Кіноактор,селище Данна,"майдан Наливайко, 5, село Емілія, 82771",409 87 80,violetta42@pelekh-skyrda.net
Авдєєнко,Богуслав,Данилович,Чоловік,1991-09-18 00:00:00,Будник,місто Пилип,"Сірко узвіз, 2, село Едита, 47617",+38 (170) 777-49-70,gskyrda@verhun.org
Дахно,Аркадій,Костянтинович,Чоловік,1945-10-23 00:00:00,Диригент,хутір Йосип,"Шаблій узвіз, 4, село Ілля, 109691",+38 450 907-42-91,illiahrytsenko@babych-khomyk.net
Бабиченко,Володимир,Григорович,Чоловік,2008-09-08 00:00:00,Візажист,хутір Орхип,"майдан Рябець, 4, село Емілія, 73011",013 811-28-83,ckharchenko@gmail.com
Цюцюра,Оксенія,Артемівна,Жінка,1954-07-03 00:00:00,Промисловець,село Амвросій,"майдан Журба, 23, місто Арсен, 96927",870-61-33,iaroslavafurs@ukr.net
Доценко,Богуслава,Олександрівна,Жінка,2001-05-10 00:00:00,Гірник,селище Гліб,"проспект Зарудний, 28, селище Віра, 17226",069 847 65 01,lukasholeksandr@davymuka.org
Андрієвич,Ольга,Олегівна,Жінка,1951-10-03 00:00:00,Лікар,місто Едуард,"Притула узвіз, 847, місто Ада, 44561",+38 746 905-20-43,lubenetsʹhlib@udovenko.ua
Стус,Євген,Ільїч,Чоловік,1967-11-11 00:00:00,Парфюмер,хутір Євген,"провулок Ісаєвич, 7, село Олег, 107237",077 754-18-48,sofiia85@meta.ua
Даньків,Богуслав,Петрович,Чоловік,1988-09-21 00:00:00,Фотограф,місто Аніта,"бульвар Карась, 75, село Кирило, 54402",+38 707 997-41-56,kanivetsʹzlatoslava@gmail.com
Деряжний,Юхим,Михайлович,Чоловік,1952-10-23 00:00:00,Астроном,місто Спас,"провулок Засядько, 99, місто Адам, 03521",058 182-51-61,venedykt89@bashtan-shtokalo.ua
Петлюра,Одарка,Олегівна,Жінка,2008-08-23 00:00:00,Медик,село Михайлина,"вулиця Яремчук, 6, село Альберт, 17029",+38 230 055-29-55,symonzhuchenko@email.ua
Цюцюра,Панас,Данилович,Чоловік,1939-11-22 00:00:00,М'ясник,селище Альбіна,"Орлик узвіз, 3, село Антон, 83796",251 82 35,zynoviidanylenko@atamaniuk.укр
Дрозденко,Охрім,Дмитрович,Чоловік,1998-03-20 00:00:00,Клавішник,селище Мартин,"Закусило узвіз, 3, селище Богуслав, 89669",009 86 72,suprunenkodanylo@email.ua
Демʼянюк,Ганна,Сергіївна,Жінка,1988-01-08 00:00:00,Програміст,село Одарка,"набережна Ґерус, 494, хутір Аркадій, 96751",+38 316 988 49 56,qzasukha@demʼianenko-khudobʼiak.info
Бандера,Ольга,Олександрівна,Жінка,1971-07-04 00:00:00,Палеонтолог,село Сніжана,"бульвар Скопенко, 635, село Федір, 62148",+38 514 760-74-12,hennadiidemʼianiuk@ukr.net
Кабаненко,Ліза,Анатоліївна,Жінка,1966-08-15 00:00:00,Електрик,селище Микита,"майдан Вакарчук, 1, хутір Стефан, 81838",+38 (902) 904-20-10,ivan00@zabarnyi-cherednyk.ua
Лубенець,Софія,Максимівна,Жінка,2007-11-23 00:00:00,Музикознавець,місто Віталій,"Ватаманюк узвіз, 81, селище Анастасія, 87180",+38 749 027 95 42,kkhomyk@verkhola-masliak.ua
Микитюк,Арсен,Петрович,Чоловік,1939-12-08 00:00:00,Фермер,селище Мирослав,"провулок Щорс, 370, місто Оксана, 33722",+38 449 933 85 56,oksanazakharenko@rebryk.укр
Дубенко,Емілія,Володимирівна,Жінка,1980-12-13 00:00:00,Водій,село Богодар,"Назаренко узвіз, 562, місто Олена, 43708",+38 052 499 96 05,zhurbabohodar@gov.ua
Бабко,Розалія,Артемівна,Жінка,2008-09-28 00:00:00,Піаніст,село Климент,"майдан Іщенко, 915, хутір Лукʼян, 13765",+38 088 095-18-49,dziubavira@meta.ua
Жаліло,Пармен,Максимович,Чоловік,1982-12-22 00:00:00,Математик,селище Ганна,"Кармалюк узвіз, 226, селище Галина, 56225",042 305-90-07,fesenkomarta@i.ua
Рубець,Гаврило,Ільїч,Чоловік,1988-03-14 00:00:00,Кіноактор,селище Руслан,"вулиця Захаренко, 049, хутір Віталій, 39964",071 697-09-85,vdubas@yakymchuk.ua
Матяш,Еріка,Володимирівна,Жінка,1994-06-15 00:00:00,Маркетолог,місто Сергій,"Зінченко узвіз, 228, хутір Валентин, 75913",031 315 07 19,zstus@arsenych.укр
Скирда,Руслан,Петрович,Чоловік,2001-03-11 00:00:00,Зоолог,місто Златослава,"Яковенко узвіз, 7, хутір Ярема, 58975",529-35-39,maksymtelychenko@rudʹko.com
Шаповал,Максим,Олегович,Чоловік,1970-10-20 00:00:00,Ґрунтознавець,хутір Олександр,"Лупій узвіз, 03, хутір Трохим, 15421",+38 705 555-81-10,heorhii13@chuiko.info
Сагаль,Кирило,Григорович,Чоловік,1949-09-01 00:00:00,Астроном,село Лариса,"вулиця Данченко, 36, село Богданна, 34193",233-21-71,ruslaniukhymenko@i.ua
Прокопович,Олександр,Сергійович,Чоловік,1966-01-10 00:00:00,Ветеринар,село Сніжана,"набережна Дзиндра, 947, хутір Оксенія, 94365",+38 715 387-06-81,boryslavshyian@gov.ua
Царенко,Адам,Вадимович,Чоловік,2000-03-03 00:00:00,Мовознавець,село Орися,"проспект Вахній, 56, селище Хома, 83388",+38 987 500 85 62,arkadiidanylʹchuk@i.ua
Оберемко,Юстим,Ільїч,Чоловік,1971-01-09 00:00:00,Адвокат,хутір Нестор,"провулок Бебешко, 236, хутір Алевтин, 105768",421 35 24,sviatoslaviushchenko@radchenko.net
Примаченко,Михайло,Іванович,Чоловік,2005-12-16 00:00:00,Провізор,хутір Марта,"проспект Малишко, 39, село Альбіна, 54546",028 250-21-54,ldanylʹchuk@i.ua
Лисенко,Надія,Михайлівна,Жінка,1964-09-10 00:00:00,Бібліотекар,хутір Альберт,"Демʼяненко узвіз, 9, село Соломон, 65193",065 596-27-86,illiavdovenko@abrahamovsʹkyi.укр
Артеменко,Наталія,Вікторівна,Жінка,1955-03-09 00:00:00,Петрограф,селище Мартин,"Данчук узвіз, 646, село Златослава, 92201",025-08-58,zlatoslava40@ukr.net
Ажажа,Арсен,Петрович,Чоловік,1942-12-04 00:00:00,Історик,селище Степан,"вулиця Александренко, 84, село Лукʼян, 19211",+38 730 705-93-11,vitaliiiurchyshyn@khudobʼiak-datsenko.org
Наливайко,Мілена,Георгіївна,Жінка,1966-02-05 00:00:00,Прокурор,село Роксолана,"проспект Гук, 135, село Ліза, 23620",041 28 94,marusia67@gmail.com
Тесленко,Василь,Вадимович,Чоловік,2001-02-11 00:00:00,Візажист,місто Євген,"провулок Бездітко, 536, місто Мілена, 64891",058 008 86 13,havryshomelian@gmail.com
